IdParam,Grupo,SubGrupo,Nom du paramètre,ObsPar
1,2walls,Quality,layer_height_0,
2,2walls,Quality,line_width,
3,2walls,Quality,wall_line_width_0,
4,2walls,Quality,wall_line_width_x,
5,2walls,Quality,skin_line_width,
6,2walls,Quality,infill_line_width,
7,2walls,Quality,roofing_line_width,
8,2walls,Walls,wall_line_count,
9,2walls,Walls,wall_0_wipe_dist,
10,2walls,Walls,top_layers,
11,2walls,Walls,bottom_layers,
12,2walls,Walls,top_bottom_pattern,
13,2walls,Walls,initial_bottom_layers,
14,2walls,Walls,wall_0_inset,
15,2walls,Walls,outer_inset_first,
16,2walls,Walls,travel_compensate_overlapping_walls_0_enabled,
17,2walls,Walls,travel_compensate_overlapping_walls_x_enabled,
18,2walls,Walls,wall_min_flow,
19,2walls,Walls,fill_perimeter_gaps,
20,2walls,Walls,filter_out_tiny_gaps,
21,2walls,Walls,fill_outline_gaps,
22,2walls,Walls,xy_offset,
23,2walls,Walls,xy_offset_layer_0,
24,2walls,Walls,z_seam_type,
25,2walls,Walls,z_seam_x,
26,2walls,Walls,z_seam_y,
27,2walls,Walls,z_seam_corner,
28,2walls,Walls,skin_outline_count,
29,2walls,Walls,skin_overlap_mm,
30,2walls,Infill,infill_line_distance,
31,2walls,Infill,infill_pattern,
32,2walls,Infill,infill_angles,
33,2walls,Infill,infill_randomize_start_location,
34,2walls,Infill,infill_overlap_mm,
35,2walls,Infill,infill_wipe_dist,
36,2walls,Infill,infill_sparse_thickness,
37,2walls,Infill,infill_before_walls,
38,2walls,Infill,top_skin_preshrink,
39,2walls,Infill,bottom_skin_preshrink,
40,2walls,Infill,top_skin_expand_distance,
41,2walls,Infill,bottom_skin_expand_distance,
42,2walls,Infill,skin_edge_support_layers,
43,2walls,Material,default_material_print_temperature,
44,2walls,Material,material_print_temperature,
45,2walls,Material,material_print_temperature_layer_0,
46,2walls,Material,material_initial_print_temperature,
47,2walls,Material,material_final_print_temperature,
48,2walls,Material,default_material_bed_temperature,
49,2walls,Material,material_bed_temperature,
50,2walls,Material,material_bed_temperature_layer_0,
51,2walls,Material,material_flow,
52,2walls,Material,wall_0_material_flow,
53,2walls,Material,wall_x_material_flow,
54,2walls,Material,roofing_material_flow,
55,2walls,Material,infill_material_flow,
56,2walls,Material,material_flow_layer_0,
57,2walls,Material,skin_material_flow,
58,2walls,Speed,speed_print,
59,2walls,Speed,speed_infill,
60,2walls,Speed,speed_wall_0,
61,2walls,Speed,speed_wall_x,
62,2walls,Speed,speed_roofing,
63,2walls,Speed,speed_topbottom,
64,2walls,Speed,speed_travel,
65,2walls,Speed,speed_print_layer_0,
66,2walls,Speed,speed_travel_layer_0,
67,2walls,Speed,speed_slowdown_layers,
68,2walls,Speed,speed_equalize_flow_enabled,
69,2walls,Speed,speed_equalize_flow_max,
70,2walls,Speed,acceleration_enabled,
71,2walls,Speed,acceleration_infill,
72,2walls,Speed,acceleration_wall_0,
73,2walls,Speed,acceleration_wall_x,
74,2walls,Speed,acceleration_travel,
75,2walls,Speed,acceleration_print_layer_0,
76,2walls,Speed,acceleration_travel_layer_0,
77,2walls,Speed,jerk_enabled,
78,2walls,Speed,jerk_infill,
79,2walls,Speed,jerk_wall_0,
80,2walls,Speed,jerk_wall_x,
81,2walls,Speed,jerk_travel,
82,2walls,Speed,jerk_print_layer_0,
83,2walls,Speed,jerk_travel_layer_0,
84,2walls,Travel,retraction_enable,
85,2walls,Travel,retraction_amount,
86,2walls,Travel,retraction_retract_speed,
87,2walls,Travel,retraction_prime_speed,
88,2walls,Travel,retraction_extra_prime_amount,
89,2walls,Travel,retraction_min_travel,
90,2walls,Travel,retraction_extrusion_window,
91,2walls,Travel,retraction_combing,
92,2walls,Travel,retraction_combing_max_distance,
93,2walls,Travel,travel_retract_before_outer_wall,
94,2walls,Travel,travel_avoid_other_parts,
95,2walls,Travel,layer_start_x,
96,2walls,Travel,layer_start_y,
97,2walls,Cooling,cool_fan_speed_min,
98,2walls,Cooling,cool_fan_speed_max,
99,2walls,Cooling,cool_min_layer_time_fan_speed_max,
100,2walls,Cooling,cool_fan_full_layer,
101,2walls,Cooling,cool_min_layer_time,
102,2walls,Cooling,cool_min_speed,
103,2walls,Buil Plate Adhesion,adhesion_type,
104,2walls,Mesh Fixes,meshfix_union_all_remove_holes,
105,2walls,Mesh Fixes,meshfix_extensive_stitching,
106,2walls,Mesh Fixes,multiple_mesh_overlap,
107,2walls,Mesh Fixes,carve_multiple_volumes,
108,2walls,Mesh Fixes,alternate_carve_order,
109,2walls,Mesh Fixes,meshfix_maximum_resolution,
110,2walls,Mesh Fixes,meshfix_maximum_travel_resolution,
111,2walls,Mesh Fixes,magic_mesh_surface_mode,
112,2walls,Mesh Fixes,relative_extrusion,
113,2walls,Mesh Fixes,cutting_mesh,
114,2walls,Mesh Fixes,infill_mesh,
115,2walls,Mesh Fixes,infill_mesh_order,
116,2walls,Mesh Fixes,meshfix_maximum_resolution,
117,2walls,Mesh Fixes,meshfix_maximum_travel_resolution,
118,2walls,Mesh Fixes,meshfix_maximum_deviation,
119,2walls,Others,infill_enable_travel_optimization,
120,2walls,Others,coasting_enable,
121,2walls,Others,coasting_volume,
122,2walls,Others,coasting_min_volume,
123,2walls,Others,coasting_speed,
124,2walls,Others,machine_extruders_share_nozzle,
125,2walls,Others,material_shrinkage_percentage,
126,2walls,Others,adhesion_extruder_nr,
